"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"AGM00060387","1995-11-06","36.917","3.95","8.0","DELLYS, AG",,,,,"  120",",,S","  212","H,,S"
"AGM00060387","1996-04-14","36.917","3.95","8.0","DELLYS, AG",,,,,"  133",",,S","  177","H,,S"
"AGM00060387","1996-04-23","36.917","3.95","8.0","DELLYS, AG",,,"  192",",,S","  169",",,S","  180","H,,S"
"AGM00060387","1996-06-09","36.917","3.95","8.0","DELLYS, AG",,,"  243",",,S",,,"  226","H,,S"
"AGM00060387","1996-06-10","36.917","3.95","8.0","DELLYS, AG",,,"  234",",,S",,,"  222","H,,S"
"AGM00060387","1996-06-16","36.917","3.95","8.0","DELLYS, AG",,,,,"  185",",,S","  226","H,,S"
"AGM00060387","2002-09-18","36.917","3.95","8.0","DELLYS, AG",,,"  293",",,S",,,"  257","H,,S"
"AGM00060387","2002-09-19","36.917","3.95","8.0","DELLYS, AG",,,,,"  215",",,S","  246","H,,S"
"AGM00060387","2002-09-20","36.917","3.95","8.0","DELLYS, AG",,,"  267",",,S","  224",",,S","  249","H,,S"
"AGM00060387","2002-09-21","36.917","3.95","8.0","DELLYS, AG",,,"  278",",,S","  234",",,S","  254","H,,S"
"AGM00060387","2002-09-22","36.917","3.95","8.0","DELLYS, AG",,,"  268",",,S","  206",",,S","  248","H,,S"
"AGM00060387","2002-09-23","36.917","3.95","8.0","DELLYS, AG",,,"  260",",,S","  211",",,S","  238","H,,S"
"AGM00060387","2002-09-24","36.917","3.95","8.0","DELLYS, AG",,,"  242",",,S",,,"  221","H,,S"
"AGM00060387","2002-09-25","36.917","3.95","8.0","DELLYS, AG",,,,,"  170",",,S","  218","H,,S"
"AGM00060387","2002-09-27","36.917","3.95","8.0","DELLYS, AG",,,,,"  146",",,S","  213","H,,S"
"AGM00060387","2002-09-28","36.917","3.95","8.0","DELLYS, AG",,,"  239",",,S","  162",",,S","  210","H,,S"
"AGM00060387","2002-09-29","36.917","3.95","8.0","DELLYS, AG",,,"  270",",,S","  154",",,S","  213","H,,S"
